method,bbox_energy_fraction,energy_enrichment,median_energy_enrichment,pointing_game,normalized_entropy
Global spatial prior,0.31716202872780086,2.6862455980412014,2.6807000111814174,0.6042128603104213,0.9352210574053026
Position-conditioned spatial prior,0.3206339728477764,2.7764123034890495,2.6735298012291713,0.5986696230598669,0.9320072949486979
LayerCAM,0.5193941868542091,5.764202141095924,4.299587938563887,0.7128603104212861,0.8387464423726203
Integrated Gradients 256,0.19306003271928368,1.8091178535403771,1.5383233812276607,0.4844789356984479,0.8715400094684573
